SN,Country name,Zone A,Zone B
1,Aaland Island,k,k
2,Afghanistan,j,j
3,Albania ,j,j
4,Algeria,j,j
5,American Samoa,i,i
6,Andorra,h,h
7,Angola,j,j
8,Anguilla,i,i
9,Antarctica,k,k
10,Antigua and Barbuda,i,i
11,Argentina,i,i
12,Armenia,j,j
13,Aruba,i,i
14,Ascension Island (British),k,k
15,Australia,i,i
16,Austria,h,h
17,Azerbaijan,j,j
18,Bahamas ,i,i
19,Bahrain,d,d
20,Bangladesh,d,d
21,Barbados,i,i
22,Barbuda,i,i
23,Belarus,j,j
24,Belgium,g,g
25,Belize,i,i
26,Benin,j,j
27,Bermuda,i,i
28,Bhutan,d,d
29,Bolivia,i,i
30,"Bonaire, SINT STATUIS AND SABA",k,k
31,Bosnia & Herzegovina,j,j
32,Botswana,j,j
33,Bouvet Island ,k,k
34,Brazil,i,i
35,British indian Ocean Territory,k,k
36,Brunei Dursslam,c,c
37,Bulgaria,h,h
38,Burkina Faso,j,j
39,Burundi,j,j
40,Cambodia,c,c
41,Cameroon,j,j
42,Canada,e,e
43,Canaries Islands,j,j
44,Cape Verde,j,j
45,Cayman Islands,i,i
46,Central African Republic,k,k
47,Chad,j,j
48,Chile,i,i
49,China,c,c
50,Christmas Island,k,k
51,Cocos (Keeling) Island,k,k
52,Colombia,i,i
53,Comoros,k,k
54,Cook Island,i,i
55,Costa Rica,i,i
56,Ivory Coast,k,k
57,Croatia,h,h
58,Cuba,k,k
59,Curacao,k,k
60,Cyprus,d,d
61,Czech Republic,j,j
62,Democatic Republic of Congo,j,j
63,Denmark,h,h
64,Djibouti,j,j
65,Dominican Republic,i,i
66,East Timor,i,i
67,Ecuador,i,i
68,Egypt,d,d
69,El Salvador,i,i
70,Equatorial Geinea,j,j
71,Eritrea,j,j
72,Estonia,h,h
73,Ethiopia,j,j
74,Falkland Island (Malvinas),k,k
75,Federated States of Moldova,k,k
76,Feroe Islands,j,j
77,Fiji,i,i
78,Finland,h,h
79,France,g,g
80,French Guyana,i,i
81,French Polynesia,i,i
82,French Southern Territories,k,k
83,Gabon,j,j
84,Gambia,j,j
85,Georgia,j,j
86,Germany,g,g
87,Ghana,j,j
88,Gibraltar,j,j
89,Greece,h,h
90,Greenland,j,j
91,Grenada,i,i
92,Guadeloupe,i,i
93,Guam,i,i
94,Guatemala,i,i
95,Guernsey,k,k
96,Guinea,j,j
97,Guinea-Bissau,k,k
98,Guyana,i,i
99,Haiti,i,i
100,Heard and Mc Donald Island ,k,k
101,Honduras,i,i
102,Hong Kong,b,b
103,Hungary,h,h
104,Iceland,j,j
105,India,d,d
106,Indonesia,c,c
107,Iran (Islamic Republic of Iran),j,j
108,Iraq,d,d
109,Ireland,g,g
110,Isle of Man,k,k
111,Israel,d,d
112,Italy,g,g
113,Ivory Coast,j,j
114,Jamaica,i,i
115,Japan,g,g
116,Jersey,k,k
117,Jordan,d,d
118,Kazakhstan,j,j
119,Kenya,j,j
120,Kiribati,k,k
121,Kosovo,k,k
122,Kuwait,d,d
123,Kyrgyzstan,j,j
124,Laos (Lao People's Democratic Republic),c,c
125,Latvia,h,h
126,Lebanon,d,d
127,Lesotho,j,j
128,Liberia,j,j
129,Libya (Libyan Arab Jamahiriya),j,j
130,Liechtenstein,g,g
131,Lithuania,h,h
132,Luxembourg,g,g
133,Macau,b,b
134,Macedonia,j,j
135,Madagascar,j,j
136,Malawi,j,j
137,Malaysia,c,c
138,Maldives,g,g
139,Mali,j,j
140,Malta,g,g
141,Marshall Islands,j,j
142,Martinique,i,i
143,Mauritania,j,j
144,Mauritius,j,j
145,Mayotte,k,k
146,Mayritania,h,h
147,Mexico,i,i
148,Micronesia,j,j
149,Moldova,j,j
150,Monaco,g,g
151,Mongolia,j,j
152,Montenegro,j,j
153,Montserrat,i,i
154,Morocco,j,j
